title,url,content,source,published,tickers,sentiment_score,vader_compound,vader_pos,vader_neg,textblob_polarity,textblob_subjectivity,sentiment_label
"Consumer Tech News  ( Apr 21-Apr 25 ) : Microsoft's Copilot Gets a Sleek New Look, Apple Under Fire For 'Influence-Peddling' In US-China Trade & More - Apple  ( NASDAQ:AAPL ) , BYD  ( OTC:BYDDY ) ",https://www.benzinga.com/news/large-cap/25/04/45027471/consumer-tech-news-apr-21-apr-25-microsofts-copilot-gets-a-sleek-new-look-apple-under-fire-for-inf,"Sen. Warren requests answers from Apple's Cook, alleging ""influence-peddling"" with the Trump administration. Alphabet and IBM beat revenue and EPS estimates, demonstrating strong quarterly performance. Today's manic market swings are creating the perfect setup for Matt's next volatility trade.",Benzinga,2025-04-26 15:18:40,"['GOOG', 'AAPL', 'VFS', 'SAP', 'BYDDF', 'VZ', 'GM', 'TXN', 'OPTGF', 'STM', 'MSFT', 'GELYF', 'TSLA', 'T', 'CHKP', 'IBM', 'NIO', 'LRCX']",0.050267,0.8481,0.204,0.0,0.4777777777777778,0.5777777777777778,positive
"Bulls And Bears: Netflix, Novavax, Intel - And The Market Begins To Bounce Back Bulls And Bears: Netflix, Novavax, Intel - And The Market Begins To Bounce Back - Celestica  ( NYSE:CLS ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/markets/25/04/45027002/benzinga-bulls-and-bears-netflix-novavax-intel-and-the-market-begins-to-bounce-back,Benzinga examined the prospects for many investors' favorite stocks over the last week - here's a look at some of our top stories. U.S. markets rebounded this week as President Donald Trump softened his stance on trade and monetary policy.,Benzinga,2025-04-26 12:08:01,"['NFLX', 'TSLA', 'IBM', 'ONC', 'INTC', 'SMMT', 'AKESF', 'NVAX', 'AMZN']",0.193949,0.7184,0.159,0.0,0.375,0.5166666666666666,positive
Okta Declines 11% in a Month: Should You Buy the Stock on the Dip?,https://www.zacks.com/stock/news/2456223/okta-declines-11-in-a-month-should-you-buy-the-stock-on-the-dip,The rising adoption of OKTA's Identity Threat Protection solution boosts prospects despite a stretched valuation.,Zacks Commentary,2025-04-25 17:59:00,"['MSFT', 'GOOG', 'VMW', 'CRWD', 'IBM', 'NOW', 'APG', 'ZS', 'OKTA', 'PANW']",0.388005,0.34,0.321,0.16,-0.05,0.0,positive
Better Quantum Stock: IonQ vs. Rigetti Computing,https://www.fool.com/investing/2025/04/25/better-quantum-stock-ionq-vs-rigetti-computing/,"The cutting edge of innovation runs through the rapidly evolving field of quantum computing. This technology promises to solve complex problems at unprecedented speeds, far exceeding the capabilities of classical systems.Recent breakthroughs from industry leaders IonQ ( NYSE: IONQ ) and Rigetti ...",Motley Fool,2025-04-25 10:30:00,"['MSFT', 'IONQ', 'RGTI', 'IBM']",0.283795,0.4215,0.142,0.085,-0.03999999999999999,0.64,positive
Why Did IBM Stock Tumble After an Earnings Beat?,https://www.fool.com/investing/2025/04/25/why-did-ibm-stock-tumble-after-an-earnings-beat/,"Shares of International Business Machines ( NYSE: IBM ) dropped like a rock on Thursday despite reporting first-quarter results Wednesday evening that beat analyst expectations across the board. Revenue of $14.5 billion was up 2% at constant-currency measures, and non-GAAP earnings per share came ...",Motley Fool,2025-04-25 08:40:00,['IBM'],-0.03612,0.7096,0.141,0.0,0.0,0.0,positive
Why IBM Stock Is Sinking Today,https://www.fool.com/investing/2025/04/24/why-ibm-stock-is-sinking-today/,International Business Machines ( NYSE: IBM ) stock is losing ground Thursday despite posting a better-than-expected first-quarter report yesterday. The company's share price had fallen 7.5% as of 12:15 p.m. ET amid the backdrop of a 1.2% gain for the S&P 500 ( SNPINDEX: ^GSPC ) and a 1.8% jump ...,Motley Fool,2025-04-24 16:31:00,['IBM'],0.212099,0.128,0.097,0.088,0.0,0.0,positive
IBM Stock Slides Despite Q1 Earnings Beat: Time to Buy Its ETFs?,https://www.zacks.com/stock/news/2455172/ibm-stock-slides-despite-q1-earnings-beat-time-to-buy-its-etfs,IBM reports robust first-quarter 2025 results and offers upbeat sales outlook for Q2. The stock falls on concerns over federal contract cuts.,Zacks Commentary,2025-04-24 16:01:00,['IBM'],0.256341,0.0516,0.098,0.089,0.1,0.0,positive
Top Cloud Computing Stocks to Bet on for Healthy Returns,https://www.zacks.com/stock/news/2455042/top-cloud-computing-stocks-to-bet-on-for-healthy-returns,"MSFT, GOOGL, AMZN and IBM are indispensable cloud stocks for any investment portfolio.",Zacks Commentary,2025-04-24 13:31:00,"['MSFT', 'GOOG', 'IBM', 'AMZN']",0.22046,0.0,0.0,0.0,0.4,0.9,neutral
IBM Q1 Earnings & Revenues Beat Estimates on Solid Demand Trend,https://www.zacks.com/stock/news/2454552/ibm-q1-earnings-revenues-beat-estimates-on-solid-demand-trend,"IBM reports solid first-quarter 2025 results, driven by healthy demand in the Software segment along with a client-focused, diverse portfolio.",Zacks Commentary,2025-04-24 12:57:00,"['BAND', 'PINS', 'QRVO', 'IBM']",0.234431,0.4215,0.189,0.066,0.25,0.3,positive
"IBM, Nokia, Alaska Air Group And Other Big Stocks Moving Lower In Thursday's Pre-Market Session - Alaska Air Gr  ( NYSE:ALK ) , Acacia Research  ( NASDAQ:ACTG ) ",https://www.benzinga.com/25/04/44977048/ibm-nokia-alaska-air-group-and-other-big-stocks-moving-lower-in-thursdays-pre-market-session,"U.S. stock futures were lower this morning, with the Dow futures falling around 200 points on Thursday. Shares of International Business Machines Corporation IBM fell sharply in today's pre-market trading after the company reported first-quarter financial results.",Benzinga,2025-04-24 12:13:14,"['ALK', 'RHI', 'IBM', 'PTON', 'BOX', 'ACTG', 'NOK', 'KALU', 'LUV', 'JACK', 'TAL', 'SWIM']",-0.069865,-0.1531,0.055,0.095,-0.041666666666666664,0.25,negative
